BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;0000460492;No Stay;9;1 Wire stay;7;None; ; ;0
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000460492;No Stay;9;No Wire stay;7;2; ; ;0
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000460492;No Stay;9;No Wire stay;7;2; ; ;0
N/A;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;1 Wire stay;7;1; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;1 Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;1 Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;None; ; ;0
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;2; ; ;0
N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000468299;No Stay;9;No Wire stay;7;2; ; ;0
None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;1;50 sqmm;1;0000461138;No Stay;9;1 Wire stay;7;None; ; ;0
None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000461138;No Stay;9;1 Wire stay;7;1; ; ;0
None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;0000477051;No Stay;9;2 Wire stay;7;3; ; ;0
None;ABC;TRUE;NO;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;0000477051;No Stay;9;2 Wire stay;7;None; ; ;0
None;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;0000477051;No Stay;9;No Wire stay;7;None; ; ;0
None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;0000477051;No Stay;9;1 Wire stay;7;1; ; ;0
None;ABC/3BC;TRUE;YES;Wood;11000;INTERMEDIATE;None;Dual;Pole;0;50/50 sqmm;7;0000449744;No Stay;11;1 Wire stay;4;1; ; ;0
 ;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole; ;50 sqmm;1;0000442893;No Stay;9;1 Wire stay;7;1; ; ;0
 ;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole; ;50 sqmm;1;0000442893;No Stay;9;1 Wire stay;7;None; ; ;0
N/A;ABC;TRUE;TEMPERED;Wood;400;T/OFF;Strut Pole;LV;Pole;0;50 sqmm;1;0000476998;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;0000476998;No Stay;9;No Wire stay;7;1; ; ;0
N/A;ABC;TRUE;TEMPERED;Wood;400;T/OFF;None;LV;Pole;0;50 sqmm;1;0000476998;No Stay;9;1 Wire stay;7;None; ; ;0
NONE;ABC;TRUE;YES;Wood;400;INTERMEDIATE;None;LV;Pole;NONE;50 sqmm;1;0000472262;No Stay;9;No Wire stay;7;None; ; ;0
NONE;ABC;TRUE;YES;Wood;400;INTERMEDIATE;None;LV;Pole;NONE;50 sqmm;1;0000472262;No Stay;9;No Wire stay;7;3; ; ;0
NONE;ABC;TRUE;YES;Wood;400;4WAY;None;LV;Pole;NONE;50 sqmm;1;0000471109;No Stay;9;No Wire stay;7;None; ; ;0
NONE;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;NONE;50 sqmm;1;0000471109;No Stay;9;1 Wire stay;7;None; ; ;0
NONE;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;NONE;50 sqmm;1;0000471109;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
NONE;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;1;50 sqmm;1;0000469562;No Stay;9;1 Wire stay;7;None; ; ;0
NONE;AIRDUCT;TRUE;YES;Wood;240;TERMINAL;None;Support;Pole;1;16 sqmm;1;0000469562;No Stay;9;No Wire stay;7;None; ; ;0
NONE;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;NONE;50 sqmm;1;0000469562;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
NONE;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;NONE;50 sqmm;1;0000469562;No Stay;9;1 Wire stay;7;None; ; ;0
NONE;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;1;50 sqmm;1;0000469562;No Stay;9;1 Wire stay;7;2; ; ;0
 ;1;1;1;Wood;400;INTERMEDIATE;1;LV;Pole;3;50 sqmm;1;0005102762;1;9;0;7; ;1; ;0
 ;1;1;1;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0005102762;1;9;0;7; ; ; ;0
 ;1;1;0;Wood;400;INTERMEDIATE;1;LV;Pole; ;50 sqmm;1;0005105838;1;9;0;7; ; ;2;0
 ;1;1;1;Wood;400;TERMINAL;1;LV;Pole; ;50 sqmm;1;0005105838;1;9;1;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0000364584;1;9;2;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0000364584;2;9;0;7; ; ;1;0
 ;1;1;1;Wood;400;INTER/ANGLE;1;LV;Pole; ;50 sqmm;1;0005106017;1;9;1;7; ; ;1;0
