FID;Loading_Month;BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
48;May;None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;480436;No Stay;9;1 Wire stay;7;2; ; ;0
49;May;N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;460492;No Stay;9;1 Wire stay;7;None; ; ;0
50;May;N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;460492;No Stay;9;No Wire stay;7;2; ; ;0
51;May;N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;460492;No Stay;9;No Wire stay;7;2; ; ;0
52;May;N/A;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;1 Wire stay;7;1; ; ;0
53;May;N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;None; ; ;0
54;May;N/A;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;468299;No Stay;9;1 Wire stay;7;None; ; ;0
55;May;N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;None; ; ;0
56;May;N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;None; ; ;0
57;May;N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;1 Wire stay;7;None; ; ;0
58;May;N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;None; ; ;0
59;May;N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;None; ; ;0
60;May;N/A;ABC;TRUE;NO;Wood;400;INTERMEDIATE;None;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;None; ; ;0
61;May;N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;2; ; ;0
62;May;N/A;ABC;TRUE;YES;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;468299;No Stay;9;No Wire stay;7;2; ; ;0
63;May;None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;1;50 sqmm;1;461138;No Stay;9;1 Wire stay;7;None; ; ;0
