FID;Loading_Month;PoleHeight;PoleMateri;BPC_No;PoleType;Subtype;OperatingV;SizeForCon;Configurat;Enabled;PoleStruct;DualStatus;Grounded;Services3p;ServicesU1;ServicesO;WireSuppor;WirestayNo;PoleSuppor;VoltageFor;WoNumber;ID;ServicesU
113;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;;2;1;1;1;1;5104356;0; 
114;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1;;1;;1;0;1;1;5104356;0; 
115;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTER/ANGLE;7;1;;1;;1;1;1;1;5106766;0; 
116;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1;1;1;;1;0;1;1;5106766;0; 
117;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;TERMINAL;7;1;;1;1;1;1; ;1;5106889;0; 
118;April;9;Wood; ;LV;Pole;400;50 sqmm;1;1;INTERMEDIATE;7;1;1;;1;1;0; ;1;5106889;0; 
119;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;INTERMEDIATE;7;YES;;;;No Stay;No Wire stay;None;1;465506;0;1
120;April;9;Wood; ;Dual;Pole;11000;50/50 sqmm;3BC/ABC;TRUE;T/OFF;2;YES;;;;No Stay;No Wire stay;Strut Pole;7;465859;0;1
121;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;TERMINAL;7;YES;;;;No Stay;1 Wire stay;None;1;465876;0;2
122;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;TERMINAL;7;YES;;;1;No Stay;1 Wire stay;None;1;465877;0;1
123;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;T/OFF;7;YES;;;;No Stay;No Wire stay;Strut Pole;1;467167;0;2
124;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;INTER/ANGLE;7;YES;;;;No Stay;No Wire stay;Strut Pole;1;468589;0;1
125;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;T/OFF;7;YES;;;;No Stay;1 Wire stay;Strut Pole;1;468999;0;1
126;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;TERMINAL;7;YES;;;;No Stay;1 Wire stay;None;1;473069;0;2
127;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;T/OFF;7;YES;;;;No Stay;No Wire stay;None;1;473464;0;1
128;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;TERMINAL;7;YES;;;1;No Stay;1 Wire stay;None;1;474752;0;1
129;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;TERMINAL;7;YES;;;;No Stay;1 Wire stay;None;1;475124;0;2
130;April;9;Wood; ;LV;Pole;400;50 sqmm;ABC;TRUE;T/OFF;7;YES;;;;No Stay;No Wire stay;Strut Pole;1;479900;0;1
